"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 05:41:11 GMT 2024","Wed Feb 21 05:41:17 GMT 2024","6242","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"broken","Wed Feb 21 05:19:18 GMT 2024","Wed Feb 21 05:19:18 GMT 2024","2","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","beforelogin","beforelogin",""
"skipped","Wed Feb 21 05:19:18 GMT 2024","Wed Feb 21 05:19:18 GMT 2024","1","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"passed","Wed Feb 21 05:41:04 GMT 2024","Wed Feb 21 05:41:10 GMT 2024","6244","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"failed","Wed Feb 21 02:14:14 GMT 2024","Wed Feb 21 02:14:22 GMT 2024","7288","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"passed","Wed Feb 21 05:40:57 GMT 2024","Wed Feb 21 05:41:04 GMT 2024","6252","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"failed","Wed Feb 21 05:13:19 GMT 2024","Wed Feb 21 05:13:26 GMT 2024","7894","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"failed","Wed Feb 21 02:14:32 GMT 2024","Wed Feb 21 02:14:39 GMT 2024","7167","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"passed","Wed Feb 21 05:40:42 GMT 2024","Wed Feb 21 05:40:57 GMT 2024","14696","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Credentials."
"passed","Wed Feb 21 05:41:18 GMT 2024","Wed Feb 21 05:41:25 GMT 2024","6600","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"passed","Wed Feb 21 05:41:25 GMT 2024","Wed Feb 21 05:41:32 GMT 2024","6831","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"passed","Wed Feb 21 05:40:39 GMT 2024","Wed Feb 21 05:40:41 GMT 2024","1443","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
